Year,Month,Day,Seat,Observer,Stratum,Transect,Segment,Flight_Dir,A_G_Name,Wind_Dir,Wind_Vel,Sky,Filename,Lat,Lon,Time,Delay,Species,Num,Obs_Type,Distance,Behavior,Code,Notes
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8617,-148.6995,65347.2,0.42,START,50,open,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8619,-148.7118,65357.1,1.13,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8641,-148.788,65415.8,2.03,GWFG,3,open,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8641,-148.788,65415.8,2.03,GWFG,3,open,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8647,-148.8082,65432.3,1.13,SWAN,3,open,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8656,-148.8444,65463.5,1.17,SWAN,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8717,-149.0568,65636,0.12,CCGO,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8719,-149.063,65642.4,0.72,GWFG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8754,-149.1749,65736,0,GWFG,2,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8797,-149.3383,65869.6,1.31,JAEG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8807,-149.377,65900.4,0.88,GWFG,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8807,-149.377,65900.4,0.88,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8828,-149.4736,65980.2,0.92,UNSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8828,-149.4736,65980.2,0.92,UNSC,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8838,-149.5149,66013.2,0.35,NOPI,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8838,-149.5149,66013.2,0.35,NOPI,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,50,NA,275,NA,NE,6,CLR,ACP19002,69.8861,-149.6004,66084.2,0.73,END,50,open,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.647,-150.2408,66854.9,1.23,START,5,open,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.646,-150.2035,66879.4,0.31,WWSC,5,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6458,-150.1992,66885.4,2.84,PALO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6456,-150.1923,66887.6,0.43,GLGU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6456,-150.1909,66889.4,1.09,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6455,-150.1882,66891.6,0.98,UNSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.645,-150.172,66903.2,1.05,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.645,-150.172,66905.3,3.06,WWSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6448,-150.1653,66907.6,0.72,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6448,-150.1653,66907.6,0.72,WWSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6448,-150.1653,66907.6,0.72,WWSC,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6418,-150.0347,67006.9,0.61,JAEG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6379,-149.8595,67138.3,1.42,WWSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6377,-149.8556,67140.9,0.48,UNSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6365,-149.7975,67190,0,GWFG,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6365,-149.7975,67190,0,GWFG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6365,-149.7975,67190,0,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6347,-149.7347,67235.3,1.19,UNSC,2,flkdrake,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6347,-149.7347,67235.3,1.19,UNSC,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6346,-149.7266,67240.6,0.7,UNSC,2,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,55,NA,94,NA,NE,6,CLR,ACP19003,69.6342,-149.7027,67259.2,0.83,END,55,open,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1419,-149.5774,68445.8,2.13,START,43,open,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1346,-149.3364,68624.5,2.7,CCGO,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1345,-149.3272,68629.5,0.75,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1344,-149.3232,68634.3,2.12,MALL,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1344,-149.3141,68640.1,0.98,NOPI,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1335,-149.2689,68673.2,0.52,NOPI,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1329,-149.2503,68689.8,3.22,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1294,-149.1404,68773.4,0,GLGU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1279,-149.0822,68814.8,1.04,GWFG,8,open,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1274,-149.0573,68834.3,0.89,JAEG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1274,-149.0534,68838.4,2.72,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1272,-149.0468,68843.5,1.96,KIEI,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1265,-149.0142,68866.8,1.02,CCGO,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.126,-148.9961,68883,0,NOPI,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1257,-148.9816,68892.3,1.09,PALO,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1223,-148.876,68974.8,0.33,KIEI,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1223,-148.876,68974.8,0.33,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.122,-148.8571,68990.3,0.84,NOPI,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1201,-148.7871,69045.5,1.59,SPEI,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1198,-148.7667,69061.2,1.11,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1181,-148.7184,69101.2,1.8,GWFG,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1172,-148.6803,69131.5,0.91,KIEI,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1131,-148.5615,69229.6,1.88,GWFG,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1123,-148.537,69249.1,0.55,GWFG,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1059,-148.3671,69389.8,0.2,JAEG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1044,-148.3044,69445.3,0,LTDU,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.1018,-148.2388,69500.8,3.68,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0996,-148.1721,69554.1,0.29,SWAN,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0993,-148.1615,69564.1,0.98,PALO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0954,-148.0595,69650.3,1.59,JAEG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0952,-148.051,69658.7,3.08,PALO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0949,-148.0414,69664.9,1.24,GWFG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0934,-148.0055,69694.4,0.66,UNSC,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0928,-147.9874,69710.3,1.52,LTDU,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0928,-147.9874,69710.3,1.52,LTDU,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0928,-147.9874,69710.3,1.52,GWFG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0926,-147.9826,69714.1,0.69,CCGO,1,pair,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0926,-147.9826,69714.1,0.69,CCGO,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0922,-147.9693,69726.1,2.27,GWFG,1,single,NA,NA,1,
2019,6,8,LF,HMW,NA,43,NA,96,NA,NE,6,CLR,ACP19004,70.0922,-147.9693,69726.1,2.27,CCGO,1,single,NA,NA,1,
