Year,N,lower95,upper95,sd,index,l95index,u95index,indexSE,Area,Index,Species,mean.r,p.r
2009,5493.66448982098,3762.4156666263,7131.36529253732,854.051729442774,5224.29377755009,3183.71852131301,7264.86903378717,1041.10982461076,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2010,5782.40140317192,4633.39030587528,7019.70044066461,603.853535852852,5663.48541997397,4055.76237646106,7271.20846348688,820.266858935159,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2011,6334.19534854217,4992.5751501866,8125.78346552996,821.237415803447,7867.67838345973,5993.19573882955,9742.16102808991,956.368696239887,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2012,5134.94781545285,4314.59227020819,5917.22663986337,409.427206941186,4631.63471765462,3729.04705981061,5534.22237549863,460.50390706327,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2013,6139.40979369799,4795.34309291123,7950.60827234172,833.397954383729,7433.2610355183,5264.41763077307,9602.10444026354,1106.55275752308,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2014,6085.00801833728,4693.94764790319,8018.26928233536,875.287979485023,7103.33028723992,4650.91282601576,9555.74774846408,1251.23339858375,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2015,5480.77444253149,4378.53493262497,6760.53161525122,604.109400049975,5735.91785052616,4173.99194528796,7297.84375576436,796.900972060308,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2016,4816.08186754419,3685.8070777509,5931.26468050899,567.298193579439,4431.0195685689,2703.84172987695,6158.19740726085,881.213183006097,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2017,4594.7683745525,3484.10663694297,5706.00463842589,566.125711669483,4465.45047439874,2992.20796437109,5938.69298442639,751.654341850841,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2018,4585.13978951587,3142.43137193539,6112.05150942758,758.328398030514,4761.26108578453,2697.63992230672,6824.88224926234,1052.8679405499,ACP,itotal,SPEI,-0.019644174702768,0.351833333333333
2009,9392.62237161341,5768.76122773145,13315.3564444315,1880.19064864768,9833.47727632001,4056.86948732802,15610.085065312,2947.24887193469,ACP,itotal,BRAN,0.0463905285277371,0.807583333333333
2010,9723.63907899162,6791.96729323925,12940.8995270838,1562.43631387192,9667.29462663054,3329.20675104419,16005.3825022169,3233.71830387059,ACP,itotal,BRAN,0.0463905285277371,0.807583333333333
